#-------------------------------------------
# Food Diary Report - Detailed Report,"понедельник, апреля 27, 2020","воскресенье, мая 3, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,1278,"81,17","36,8","103,01"
Завтрак,608,"41,1","19,63","42,33"
Обед,499,"36,6","7,86","35,08"
Ужин,171,"3,46","9,32","25,6"
Перекус/Другое,,,,

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"понедельник, апреля 27, 2020",1793,"114,06","8,873","40,98","0,8","4,23","150,06",300,1032,226
 Завтрак,453,"33,92","8,821","6,63",0,"1,66","28,7",297,1032,
  Яйцо Куриное,345,"23,93","7,621","2,05",0,"1,66","28,08",297,1032,
   220 г
  Пятерочка Лук Репчатый,18,0,,"4,58",,,"0,62",,,
   44 г
  Олейна Масло Растительное ,90,"9,99","1,2",0,,0,0,,,
   10 г
 Обед,998,"73,21","0,052","15,72","0,8","2,57","70,16",3,0,226
  ВкусВилл Холодец Мясной,660,60,,0,,,30,,,
   300 г
  Вкусвилл Рулет из Курицы «Нежный»,169,"2,4",,"2,6",,,"34,2",,,
   200 г
  Огурец (с Кожурой),23,"0,17","0,052","5,59","0,8","2,57",1,3,0,226
   154 г
  Молочное Царство Сметана 10%,87,"7,5",,"2,92",,,"2,02",,,
   75 г
"  БМК Молоко 3,2%",59,"3,14",,"4,61",,,"2,94",,,
   98 г
 Ужин,342,"6,93",,"18,63",,,"51,2",,,
  Савушкин Продукт Teos Йогурт Греческий 2%,167,5,,"10,5",,,20,,,
   250 г
"  Простоквашино Творог Рассыпчатый 0,2%",145,"0,33",,"5,78",,,"29,7",,,
   165 г
"  БМК Молоко 3,2%",30,"1,6",,"2,35",,,"1,5",,,
   50 г
 Перекус/Другое,,,,,,,,,,

"вторник, апреля 28, 2020",763,"48,28","0,065","32,63",1,"3,17","55,96",4,0,279
 Завтрак,763,"48,28","0,065","32,63",1,"3,17","55,96",4,0,279
"  БМК Молоко 3,2%",122,"6,53",,"9,59",,,"6,12",,,
   204 г
  ВкусВилл Холодец Мясной,231,21,,0,,,"10,5",,,
   105 г
  ВкусВилл Рулет Ветчинный Куриный ,230,"18,36",,0,0,0,"16,32",,,
   120 г
  Огурец (с Кожурой),28,"0,21","0,065","6,9",1,"3,17","1,24",4,0,279
   190 г
  Молочное Царство Творог 0%,103,"2,18",,"3,99",,,"21,78",,,
   121 г
  Северная Земля Клубника Протёртая с Сахаром,49,0,,"12,15",,,0,,,
   27 г
 Обед,,,,,,,,,,
 Ужин,,,,,,,,,,
 Перекус/Другое,,,,,,,,,,

Всего,2556,"162,34","8,938","73,61","1,8","7,4","206,02",304,1032,505
